ID,HP_Power_kW,Heated_Floor_Area,Building_Year,Cluster_Building_Age,Cluster_HP_Size,Cluster_Building_Area,Cluster_HP_Type
HqUC5uYJWOI83oCbjgk1,3.0,161.0,2002.0,young,small,small,unknown
fdUXQSv_5Y_Ntpf6skGP,2.5,165.6,2003.0,young,small,small,unknown
AiiHXkGdGYo1lQ03TONm,3.0,174.8,2003.0,young,small,small,unknown
juQ_jZGbD_wUkM_jKvu8,3.0,250.7,2005.0,young,small,medium,unknown
oX9O7I_RoaQgzCXl0nkx,4.0,256.45,2005.0,young,small,medium,unknown
WKI0KmWdFRsRM_kzlPnC,2.5,218.5,,unknown,small,medium,unknown
Yjvtq4IIxigbaMkpmrvX,6.5,143.75,2010.0,young,medium,small,unknown
xtkr_kxKgyw7OHHAI5w5,2.2,172.5,1815.0,old,small,small,air source
QQXBjRbiaBkO4GqNvejw,5.4,165.6,1959.0,medium,medium,small,ground source
WvDjlaIgXPI9uz5rqSOt,4.0,189.75,2011.0,young,small,medium,unknown
ZQ9PT3PJBosCgcTMv3_1,4.2,326.6,,unknown,small,big,unknown
TsY0KmRFJUIGGTHTFxDP,8.0,253.0,2013.0,young,medium,medium,unknown
1fXkKK01JQQK6NwTiRzh,4.0,308.2,2006.0,young,small,big,unknown
F0m4dX6ZLRkluMz26Tf5,3.0,184.0,2003.0,young,small,small,unknown
uUyMI0WMSH2KYzMN0N_h,5.0,149.5,2004.0,young,medium,small,unknown
wwUYwhrKaHcb8g2oHl9C,3.0,264.5,2004.0,young,small,medium,unknown
8Zpzm048KEQJFG0IIgkj,3.6,,2004.0,young,small,unknown,unknown
_yZIyt8XeCkzn0eVzozF,5.0,305.9,2007.0,young,medium,big,unknown
LmxiT774rNg,,,,unknown,unknown,unknown,unknown
yD_p2kfQopkJcLVZHAk4,5.5,87.4,1929.0,medium,medium,small,air source
weBYaGcddjsVvNPPtU69,3.4,247.25,2005.0,young,small,medium,air source
t7Y1lVqftJE,,,,unknown,unknown,unknown,unknown
ZU50RsGDzwkuM68BpPtJ,1.5,109.25,2008.0,young,small,small,ground source
oyCKSfs8QGc44q5bSG79,3.7,230.0,1987.0,young,small,medium,ground source
AWjEBg5Y_JIVANSt4FvX,4.2,207.0,1980.0,young,small,medium,air source
L8Suf1ioLp6N6h_JA0,5.5,161.0,1973.0,medium,medium,small,ground source
N7cphKtKpH61D_HX7p2n,6.9,230.0,1967.0,medium,medium,medium,ground source
YpT_tMNBdNwonxSELns1,2.8,212.75,2002.0,young,small,medium,air source
1GRQAenzuY_SQSPfz10q,4.8,,1970.0,medium,medium,unknown,ground source
k_0GZqrSRLg5_NNQxJ1y,,333.5,2010.0,young,unknown,big,ground source
rHdjAA2tym_1X4AwWBN_,2.2,,2016.0,young,small,unknown,ground source
pQJzgmeE8M_otyJjpj1k,3.75,92.0,1955.0,medium,small,small,air source
n5sDjFS5uJknSODJ5cpk,1.53,132.25,1952.0,medium,small,small,ground source
zad9iG2Rm0E,,,,unknown,unknown,unknown,unknown
2fP6YXUC1j6yRpfZaPXr,,138.0,2005.0,young,unknown,small,unknown
ufOqtLjVH_IcKn9_LURQ,,215.05,2005.0,young,unknown,medium,unknown
p6fmVHw_4A_XTA_C5q0t,,207.0,2005.0,young,unknown,medium,unknown
KU47cYuiMHEdWSPQ4kg8,,135.7,2007.0,young,unknown,small,unknown
Ezpr5Ivs9Hwu3XQnsFfp,6.5,253.0,2010.0,young,medium,medium,unknown
Phujplm_c46w9ND1B_HM,,253.0,2010.0,young,unknown,medium,unknown
hr0VS6HHca_pPawpZjen,2.3,193.2,1961.0,medium,small,medium,air source
IjkYS_5SuK21IcuWgOYz,3.2,184.0,,unknown,small,small,unknown
u9GrNa_wOFobgDDb00,5.0,230.0,1995.0,young,medium,medium,air source
KYzRzfwZwUQQONfWca,4.0,247.25,1995.0,young,small,medium,ground source
_3nRlBBH8pE,,,,unknown,unknown,unknown,unknown
12_FdunFrlQgF_KDFvoz,3.0,,2002.0,young,small,unknown,air source
_kTOtzOReAIwJ6g8BXKU,2.2,295.55,2008.0,young,small,big,ground source
SN0K6At6QGA,,,,unknown,unknown,unknown,unknown
cV3Skv58LsAP5SW9G0,,115.0,,unknown,unknown,small,unknown
X8t9ff1_H__BKpj1YBjb,,376.05,2016.0,young,unknown,big,unknown
4Rqmt7aOUwU,,,,unknown,unknown,unknown,unknown
wHbcGZgi6KA3h1DoREgF,,391.0,1944.0,medium,unknown,big,ground source
DC9aHPCnBOkP_dqr92_q,,230.0,,unknown,unknown,medium,unknown
hjwiqgBYrEsuKuRBQgg2,,269.1,2002.0,young,unknown,big,unknown
xdVSTN_AqCEzvHMrwENU,3.0,248.4,2002.0,young,small,medium,unknown
Ja8tardxPlYJXkTdlokN,2.0,184.0,2006.0,young,small,small,unknown
TN4C1Rvoe_U,,,,unknown,unknown,unknown,unknown
Y5k0WcN2qCc,,,,unknown,unknown,unknown,unknown
4FcK9eEXw0_5biQZU5S7,3.5,287.5,1999.0,young,small,big,air source
dwkpN23n3SA9sn9Td6YX,2.8,172.5,2004.0,young,small,small,ground source
zvNJQfjyMrMydMVP2gld,3.05,207.0,1984.0,young,small,medium,ground source
tmQXVYSYGcsf81nkWmkR,2.2,287.5,2009.0,young,small,big,ground source
M_RkbnVhRxchZAiVXXP5,4.2,172.5,1976.0,young,small,small,air source
88HeRYKIlIkV7B2im3gK,4.0,251.0,,unknown,small,medium,unknown
tQtsBxI1VOo,,,,unknown,unknown,unknown,unknown
lWBGAy9TYBY,,,,unknown,unknown,unknown,unknown
Td71WmFkoHQ,,,,unknown,unknown,unknown,unknown
zJzWukVeDwE,,,,unknown,unknown,unknown,unknown
mNj04s1D2ksrCL1y57,3.13,149.5,,unknown,small,small,unknown
OY7TuRt4i7wB3NylOlxL,2.6,235.75,2004.0,young,small,medium,unknown
4TOCCfx7rNYXQDDUa7WG,3.0,204.7,2004.0,young,small,medium,unknown
F2hja_e_t9owL_XzFBof,3.0,195.5,2005.0,young,small,medium,unknown
NsxT3dmQ6eIFX1RyztyC,3.5,223.1,2005.0,young,small,medium,unknown
2rNVWnHffFozhl5QbQG2,6.1,310.5,1830.0,old,medium,big,ground source
BKMC0qyZiXEs7gGTIZlN,3.0,230.0,2010.0,young,small,medium,ground source
xJ_JENNrr7MsfaA6WTpg,8.71,140.3,1898.0,medium,medium,small,air source
rbF5FjRamW_,,,,unknown,unknown,unknown,unknown
Zk_VFwMvsWUH8uE_Es,8.0,143.75,,unknown,medium,small,unknown
UtyV9bVvuLgFEiFo_fag,5.0,325.45,2009.0,young,medium,big,air source
8xJrKNe_0FU,,,,unknown,unknown,unknown,unknown
IjVQrIJA2mo,,,,unknown,unknown,unknown,unknown
N3GBb6MjtZgU7_k_mWeh,4.0,230.0,2010.0,young,small,medium,unknown
arSAFo__I3sQz2tCgJXB,4.34,169.05,2010.0,young,small,small,ground source
254RTcwA1DgXObb_s0pj,3.6,310.5,1998.0,young,small,big,air source
gkN6zTuXkyQLcRvZYBhZ,2.3,253.0,2000.0,young,small,medium,ground source
BRjhgA4kHak,,,,unknown,unknown,unknown,unknown
lJrzpfY3VucI9xUX04bg,6.8,317.4,2013.0,young,medium,big,air source
Bk0Cb4__Cn26Uepa8D,5.0,163.3,,unknown,medium,small,unknown
oXSvR1qqZCgQXs7Lq96s,4.0,261.05,2007.0,young,small,medium,unknown
5ddKPRWyZ6YPdKOULM6_,2.9,225.4,2000.0,young,small,medium,ground source
KfCFcYCs63IBoU9xfJh1,3.6,212.75,2005.0,young,small,medium,ground source
9_nPV0jlhPMLpdXR1igk,4.9,309.35,2006.0,young,medium,big,air source
TDlgz69VYeQ,,,,unknown,unknown,unknown,unknown
97uwIjhFTHcAu5PET1Vu,4.1,195.5,,unknown,small,medium,unknown
_CIqTwgi1tggzmgTB6mE,3.5,,,unknown,small,unknown,unknown
2iVFlyF6GW2BhAMft1FJ,15.0,138.0,2010.0,young,big,small,unknown
gKfu8PubL4kzhGo4Fysx,2.2,108.1,2009.0,young,small,small,unknown
GPff7hBGtzYgK9vPHfHj,,174.8,2009.0,young,unknown,small,unknown
5g0sbpcPXEkbCVeD3mqT,7.5,132.25,,unknown,medium,small,unknown
N4KNlpW0foEMSAoduJjl,,224.25,2007.0,young,unknown,medium,air source
DmnFEt7PEKcL6_Hh_Yap,,224.25,2007.0,young,unknown,medium,air source
pM6adHWJSCgBnUcbkNFI,,224.25,2006.0,young,unknown,medium,air source
ra7_0E35sr_kkCtiGeQR,,224.25,2006.0,young,unknown,medium,air source
Y3xSAMkTF0M7dDkQJm8mB,3.0,92.0,1780.0,old,small,small,air source
mYxe_SDAxtQW_a8AYq4Wc,,117.3,1780.0,old,unknown,small,air source
dEP1paisCOY4IkQQmpbIN,3.0,236.9,,unknown,small,medium,unknown
a3GVXEkUhFIl,,,,unknown,unknown,unknown,unknown
4o3AsNPsd_gHLM23u8r0N,,272.55,2002.0,young,unknown,big,unknown
pWNxvvgglaUYkMFC8thm2,,189.75,2000.0,young,unknown,medium,air source
